satisfaction rate,0.961625282,mae,1.9508125,cost time,13.71392417,introduced bugs,0,,
model,0,satisfaction rate,0.961625282,mae,1.9508125,cost time,14.89437318,introduced bugs,0
model,0,satisfaction rate,0.961625282,mae,1.9508125,cost time,14.7441473,introduced bugs,0
model,1,satisfaction rate,1,mae,2.1766193,cost time,14.99540925,introduced bugs,0
model,2,satisfaction rate,0.952054795,mae,1.657461,cost time,14.35923505,introduced bugs,0
model,3,satisfaction rate,0.956621005,mae,2.4808083,cost time,14.68061662,introduced bugs,0
model,4,satisfaction rate,0.9543379,mae,1.9256158,cost time,14.52232432,introduced bugs,0
model,5,satisfaction rate,0.972540046,mae,2.0311332,cost time,14.83923531,introduced bugs,0
model,6,satisfaction rate,0.983981693,mae,2.1351597,cost time,15.57595396,introduced bugs,0
model,7,satisfaction rate,0.988610478,mae,1.9952742,cost time,13.76129746,introduced bugs,0
model,8,satisfaction rate,1,mae,2.3192112,cost time,14.66792274,introduced bugs,0
model,9,satisfaction rate,0.953271028,mae,1.8392981,cost time,13.52723765,introduced bugs,0
model,10,satisfaction rate,0.953703704,mae,2.1142087,cost time,14.49503613,introduced bugs,0
model,11,satisfaction rate,0.99086758,mae,1.4357978,cost time,14.2727983,introduced bugs,0
model,12,satisfaction rate,0.986270023,mae,1.9908264,cost time,13.98614144,introduced bugs,0
model,13,satisfaction rate,0.943566591,mae,2.0158377,cost time,12.46003699,introduced bugs,0
model,14,satisfaction rate,0.98372093,mae,2.6262507,cost time,13.25343466,introduced bugs,0
model,15,satisfaction rate,0.956818182,mae,1.9014239,cost time,14.45037746,introduced bugs,0
model,16,satisfaction rate,0.947963801,mae,1.9584788,cost time,13.79087448,introduced bugs,0
model,17,satisfaction rate,0.964788732,mae,3.0061746,cost time,12.48534036,introduced bugs,0
model,18,satisfaction rate,0.99086758,mae,3.6760602,cost time,14.32850289,introduced bugs,0
model,19,satisfaction rate,0.993150685,mae,2.0141232,cost time,13.48378205,introduced bugs,0
model,20,satisfaction rate,0.948775056,mae,2.622233,cost time,14.46789193,introduced bugs,0
model,21,satisfaction rate,0.931350114,mae,2.1803467,cost time,14.023628,introduced bugs,0
model,22,satisfaction rate,0.9543379,mae,1.7395595,cost time,14.53274035,introduced bugs,0
model,23,satisfaction rate,0.961363636,mae,1.5785472,cost time,12.57843637,introduced bugs,0
model,24,satisfaction rate,0.956422018,mae,1.9019998,cost time,13.52390146,introduced bugs,0
model,25,satisfaction rate,0.956621005,mae,1.7595124,cost time,14.22297263,introduced bugs,0
model,26,satisfaction rate,1,mae,3.3652582,cost time,15.03890967,introduced bugs,0
model,27,satisfaction rate,0.948314607,mae,2.3817847,cost time,14.77543116,introduced bugs,0
model,28,satisfaction rate,0.949771689,mae,5.7368135,cost time,15.38040853,introduced bugs,0
model,29,satisfaction rate,0.965909091,mae,3.9751067,cost time,13.12583923,introduced bugs,0
model,30,satisfaction rate,0.967248908,mae,2.3624063,cost time,12.11269331,introduced bugs,0
model,31,satisfaction rate,0.953125,mae,1.7963969,cost time,14.60950804,introduced bugs,0
model,32,satisfaction rate,0.9569161,mae,2.1559541,cost time,14.48266411,introduced bugs,0
model,33,satisfaction rate,0.983796296,mae,2.540167,cost time,14.26320481,introduced bugs,0
model,34,satisfaction rate,0.99078341,mae,2.3929248,cost time,14.76199913,introduced bugs,0
model,35,satisfaction rate,0.959276018,mae,2.6264527,cost time,14.45719647,introduced bugs,0
model,36,satisfaction rate,0.967816092,mae,2.9939582,cost time,12.52730441,introduced bugs,0
model,37,satisfaction rate,0.949656751,mae,2.1607506,cost time,14.00402117,introduced bugs,0
model,38,satisfaction rate,0.988344988,mae,1.5719419,cost time,12.30842304,introduced bugs,0
model,39,satisfaction rate,0.973273942,mae,2.2764835,cost time,13.14895535,introduced bugs,0
model,40,satisfaction rate,0.956719818,mae,3.1860135,cost time,13.10076141,introduced bugs,0
model,41,satisfaction rate,0.959276018,mae,1.4835186,cost time,13.53869104,introduced bugs,0
model,42,satisfaction rate,0.956719818,mae,1.8014297,cost time,14.5725739,introduced bugs,0
model,43,satisfaction rate,0.968468468,mae,3.1611116,cost time,14.59980726,introduced bugs,0
model,44,satisfaction rate,0.993006993,mae,3.8256598,cost time,13.90100694,introduced bugs,0
model,45,satisfaction rate,0.979820628,mae,2.1949449,cost time,13.40969777,introduced bugs,0
model,46,satisfaction rate,0.954648526,mae,3.5023944,cost time,14.0800004,introduced bugs,0
model,47,satisfaction rate,0.965517241,mae,1.6527126,cost time,12.4303174,introduced bugs,0
model,48,satisfaction rate,0.993166287,mae,2.96718,cost time,13.91160679,introduced bugs,0
model,49,satisfaction rate,1,mae,1.8983216,cost time,14.59228802,introduced bugs,0
average,,,0.968504129,,2.380849194,,13.98325169,,0
std,,,0.017900887,,0.781170018,,0.840248387,,0
